,title,price,colour,description,category,brand
46,check overshirt details,89.9,red / black,collared overshirt with long sleeves. featuring patch pockets with flaps and welt pockets on the front and metal button up fastening in the front.,outerwear,zara
47,pleated mini skirt details,59.9,black,short skirt in pleated fabric with an adjustable drawstring waistband.,skirts,zara
48,ribbed top with slits details,39.9,blue,long sleeve top with a high neck and side slits. ,tops,zara
49,buttoned knit waistcoat details,69.9,black,sleeveless double breasted knit waistcoat with metal buttons and a lapel collar.,outerwear,zara
50,skinny trousers details,45.9,petrol blue,"mid waist trousers with front pockets and false double welt back pockets. featuring side vents at the hems and metal hook, inside button and zip fastening in the front.",outerwear,zara
51,check trousers with turn up hems details,59.9,black / ecru,"high waist trousers with an elastic waistband, side pockets and turn up hems. ",bottoms,zara
52,basic cropped t shirt details,14.9,white,short sleeve t shirt with a round neckline. ,tops,zara
53,zw premium ray pleated high waist dusty rose jeans details,89.9,chalk pink,the ray pleated high waist in dusty rose. ,jeans,zara
54,paperbag shorts with belt details,49.9,light blue,"high waist shorts with pleats at the waist. featuring front and back patch pockets, a contrast belt and button fastening in the front.",skirts,zara
55,mini dress with print details,69.9,black,"round neck dress featuring long sleeves with elastic cuffs, a gathered seam detail at the waist and button fastening at the back with an opening.",dresses,zara
56,satin finish contrast top details,59.9,black,high neck top with long sleeves and slits on the cuffs. matching satin finish fabric detail. button fastening at the back with an opening. ,tops,zara
57,dress with front knot details,179.0,black,midi dress with a round neckline and long sleeves. featuring a tie detail on the front and invisible back zip fastening. ,dresses,zara
58,t shirt with front embroidery details,39.9,white,short sleeve t shirt with a round neckline. featuring a contrast embroidery on the front.,tops,zara
59,linen blouse with buttons details,69.9,grey,v neck blouse with sleeves falling below the elbow and turn up cuffs. featuring a seam with gathering and front button fastening. ,tops,zara
60,masculine sash belt trousers details,89.9,black,"mid waist trousers with front pockets and welt back pockets. featuring a satin finish sash style belt detail with a bow. metal hook, inside button and zip front fastening.",bottoms,zara
61,houndstooth print coat details,199.0,ecru / black,"oversized long sleeve coat with a lapel collar. featuring front welt pockets, a back vent and button fastening at the front. ",outerwear,zara
62,joggers with rhinestone side taping details,59.9,beige,"loose fitting high waist trousers with an elastic inner waistband. featuring front patch pockets, rhinestone appliquéd side taping and cuffed elastic hems. ",bottoms,zara
63,trousers with xl pockets details,49.9,black,high waist trousers with an elastic waistband. featuring buttoned patch pockets on the front and side vents at the hems.,bottoms,zara
64,relax fit ripped jeans details,69.9,mid-blue,"faded high waist jeans featuring a five pocket design, ripped detail on the front, adjustable hems with snap buttons and zip fly and metal top button fastening. ",jeans,zara
65,houndstooth blazer details,139.0,multicoloured,"blazer with a lapel collar and long sleeves. featuring front flap pockets, a chest welt pocket, back vent and button fastening in the front. ",outerwear,zara
66,check culottes details,69.9,dark grey,high waist wide leg trousers with invisible zip fastening on the side.,bottoms,zara
67,faux leather jacket details,69.9,black,"jacket with a round neckline and long sleeves. featuring front zip pockets, a flared hem and a metal zip up front.",outerwear,zara
68,animal print jumpsuit with knot details,69.9,leopard,"flowing jumpsuit with a v neckline and thin straps. featuring a decorative front knot, a wide leg fit and in seam zip fastening at the back. ",dresses,zara
69,floral print skirt details,89.9,black,flowing skirt with side fastening hidden in the seam.,skirts,zara
70,wool and cashmere sweater details,119.0,mid-grey,"sweater in a wool, cashmere and tencel™ blend. featuring a high neck and long sleeves.",outerwear,zara
71,combined dress details,59.9,black,round neck dress with short sleeves and matching fabric detail.,dresses,zara
72,baggy corduroy trousers details,59.9,khaki,"mid waist trousers with an elastic waistband. featuring front patch pockets, false jetted back pockets and decorative buttons on the front. ",bottoms,zara
73,houndstooth dress details,119.0,black / white,"long dress featuring a round neckline, v neckline in the back, short puff sleeves, matching belt detail, hem with back vent and invisible back zip fastening.",dresses,zara
74,jacquard cardigan details,89.9,brown,"knit v neck cardigan with a lapel collar, long sleeves and button fastening at the front. ",outerwear,zara
75,striped blouse with loose fitting neckline details,69.9,blue/white,blouse featuring a loose fitting high neck with snap button and adjustable long sleeves with button.,tops,zara
76,top with wide neckline details,45.9,brown / taupe,"knit top with a wide neckline, long sleeves and ribbed trims. ",outerwear,zara
77,contrast sweatshirt details,69.9,032,sweatshirt with a round neckline and long sleeves in a contrasting fabric.,outerwear,zara
78,v neck sweater details,49.9,white,long sleeve v neck sweater.,outerwear,zara
79,hooded coat details,159.0,black,"coat with a raised collar and hood with a detachable faux fur trim. featuring long sleeves, side pockets and front patch pockets with flaps. front zip fastening hidden by a placket and snap buttons. ",outerwear,zara
80,contrast puffer jacket details,119.0,black,"jacket with high neck knitted matching collar and long sleeves with ribbed cuffs. featuring front welt pockets, contrast interior lining, adjustable drawstring hem and double front metal zip fastening. ",outerwear,zara
81,coat with pockets details,299.0,light tan,"coat made of a wool and cotton blend. featuring front flap pockets, back vent at the hem and concealed button fastening on the front. ",outerwear,zara
82,belted jacket details,89.9,khaki,"jacket with a lapel collar and long sleeves. featuring front welt pockets, chest patch pockets, a matching fabric belt, frayed hem and button up fastening. ",outerwear,zara
83,printed dress details,89.9,black,midi dress with a shirt collar and sleeves falling below the elbow. featuring an asymmetric hem with ruffle trims and a henley button placket.,dresses,zara
84,faux leather trousers details,69.9,black,mid waist trousers with front pockets. featuring an elastic waist with adjustable drawstrings and elastic cuffs.,bottoms,zara
85,puff sleeve dress details,69.9,navy blue,knit dress with long puff sleeves and a v neckline. ribbed trims and metal button fastening in the front. ,outerwear,zara
86,buttoned textured playsuit details,59.9,black,"v neck playsuit with thin adjustable straps, an elastic waistband and front button fastening.",dresses,zara
87,ruffled satin dress details,69.9,maroon,"dress with a v neckline, long puff sleeves, elastic cuffs, an elastic waist with front knot and ruffled hem. ",dresses,zara
88,draped top details,49.9,navy blue,long sleeve top with a draped neckline. gathered detail on the front and in seam side zip fastening. ,tops,zara
89,faux shearling coat details,159.0,black,"short coat with a lapel collar, long sleeves, front welt pockets and front button fastening.",outerwear,zara
90,check trousers details,69.9,grey,"high waist trousers with front pockets and false rear welt pockets. featuring front darts and cuffed hems with snap buttons. fastening with metal hook, inside button and zip fly fastening. ",outerwear,zara
91,sleeveless knit top details,45.9,black,sleeveless knit top with a high neck. ,outerwear,zara
92,ruffled knit top details,49.9,ecru,v neck knit top with thin straps and ruffle trims.,outerwear,zara
93,cape sleeve bodysuit details,45.9,mink,"bodysuit with a surplice v neckline, short full sleeves and snap button fastening at the bottom.",tops,zara
94,coat with high collar details,229.0,black,"coat made of a wool blend. featuring a high collar, long sleeves, front flap pockets and double breasted button fastening.",outerwear,zara
95,wide drapey trousers details,45.9,beige,high waist trousers with an elastic waistband.,bottoms,zara
96,pyjama trousers details,69.9,grey,high waist trousers with a straight leg and elastic waistband. featuring front pockets and visible front seams.,bottoms,zara
97,wide leg jeans details,69.9,grey,high waist jeans with a wide leg and five pocket design. made of stiff faded effect fabric with seamless hems and zip fly and metal top button fastening.,jeans,zara
98,satin blouse with tied bow detail details,49.9,emerald,"loose fitting v neck blouse with a tie in the same fabric, sleeves falling below the elbow and gathering at the shoulders. ",tops,zara
99,pointelle knit dress details,69.9,white,"dress with a round neckline and long sleeves. featuring matching ruffle trims, a flared hem and lining.",outerwear,zara
100,flared trousers details,89.9,camel,"mid waist trousers with front pockets and rear welt pockets. featuring flared hems and metal hook, inside button and zip fastening in the front.",outerwear,zara
101,soft touch sweatshirt details,45.9,oyster white,sweatshirt with a high neck and long sleeves. ,outerwear,zara
102,limited edition sequinned dress details,229.0,golden,v neck dress with thin straps. featuring matching sequin appliqués and invisible side zip fastening.,dresses,zara
103,oversized t shirt with pocket details,45.9,mid-green,loose fitting short sleeve t shirt with a round neckline and a patch pocket on the chest. ,tops,zara
104,metallic top details,59.9,fuchsia,"top featuring a v neckline, thin straps and lining with elastic at the back. ",tops,zara
105,faded effect embroidered shirt details,39.9,blue / indigo,round neck shirt with short sleeves and matching embroidered trims. ,tops,zara
106,printed mini dress details,69.9,black,dress with a v neckline and gathered sleeves falling below the elbow. ,dresses,zara
107,denim mini dress details,69.9,black,round neck dress with long sleeves. featuring front pockets and zip up fastening.,dresses,zara
108,textured t shirt details,29.9,white,short sleeve t shirt with a round neckline and a contrast front print.,tops,zara
109,wide leg cargo trousers details,89.9,ecru,"high waist wide leg trousers featuring side patch pockets with flaps and zips, false welt back pockets and zip fly and snap button fastening in the front. ",bottoms,zara
110,sequinned dress with belt details,89.9,multicoloured,"short round neck dress with long elasticated sleeves. featuring a back opening, belt with metal buckle, lined interior and back button fastening.",dresses,zara
111,jacquard knit trousers details,69.9,brick,high waist trousers with an elastic waistband and a wide leg design.,bottoms,zara
112,dotted mesh mini dress details,69.9,khaki,"long sleeve dress with a round neckline. featuring a v shaped opening at the neck with ties, and decorative gathered seams.",dresses,zara
113,loose fitting textured dress details,69.9,green,"short dress featuring a round neckline, long wide sleeves with elastic trim, lining, pleat detailing and buttoned opening at the back.",dresses,zara
114,pleated dress with guipure details,69.9,beige-pink,mini dress with a round neckline and short sleeves. featuring lining and a buttoned opening in the back.,dresses,zara
115,cropped shirt with pockets details,69.9,black,"shirt with a lapel collar and short rolled up sleeves. featuring a patch pocket with flap on the chest, asymmetric hem and front button fastening. ",tops,zara
116,floral print skirt details,59.9,multicoloured,skirt with front pleats and decorative covered buttons. featuring a front vent at the hem and invisible side zip fastening.,skirts,zara
117,zw premium ari acid black bermuda shorts details,69.9,black,the ari bermuda in acid black.,skirts,zara
118,t shirt with tucks details,39.9,oyster white,"short sleeve t shirt with a round neckline and a tuck appliqué on the front.
featuring a ruffled hem. ",tops,zara
119,faux leather dress details,89.9,leather,collared midi dress with short turn up sleeves and front patch pockets with flaps. fastens at the front with metal snap buttons and a buckled belt.,dresses,zara
120,basic high neck t shirt details,29.9,charcoal grey,short sleeve t shirt with a ribbed high neck. ,tops,zara
121,basic lyocell t shirt details,29.9,russet,short sleeve t shirt with a round neckline. ,tops,zara
122,fitted top details,19.9,white,short sleeve t shirt with a round neckline.,tops,zara
123,flowing dress details,45.9,black,flowing dress with a surplice neckline and short sleeves. featuring a tied belt in matching fabric.,dresses,zara
124,organdy flowing sleeve jacket details,59.9,black,flowing round neck jacket featuring long sleeves and contrasting front button fastening. ,outerwear,zara
125,jeans zw premium sweet paperbag details,69.9,black,the sweet paperbag in pitch black.,jeans,zara
126,draped shift dress details,119.0,black,"fitted dress featuring a straight neckline, long sleeves and invisible back zip fastening. ",dresses,zara
127,©radiohead print t shirt details,39.9,white,"t shirt with a round neckline, short sleeves, a contrast ©2019 radiohead print. ",tops,zara
128,basic coat details,69.9,black,"coat with a lapel collar, long sleeves and front welt pockets.",outerwear,zara
129,dress with contrast polka dots details,69.9,salmon,"short dress with a v neckline and sleeves falling below the elbow. featuring an elasticated waist, lining and front button fastening.",dresses,zara
130,pleated polka dot dress details,49.9,black / white,round neck dress with long sleeves and elastic cuffs. ,dresses,zara
131,sequinned skirt details,179.0,burgundy,high waist midi skirt with matching sequin appliqués and invisible side zip fastening.,skirts,zara
132,sequinned fringe dress details,69.9,black,"mini dress with a straight cut neckline and adjustable straps with ties. featuring decorative fringing, sequin appliqués and invisible side zip fastening.",dresses,zara
133,check camisole details,45.9,green / blue,v neck top with lace trim and wide straps.,tops,zara
134,slouchy trousers details,69.9,black,"high waist flowing trousers. side in seam pockets and buttoned false welt pockets in the back. front zip, inside button and metallic hook fastening. ",outerwear,zara
135,three little pigs ©disney t shirt details,29.9,white,short sleeve t shirt with a round neckline and a three little pigs ©disney print.,tops,zara
136,houndstooth knit trousers details,69.9,black / white,culottes with an elastic waistband.,bottoms,zara
137,poplin midi dress details,89.9,black,round neck dress featuring long puff sleeves with elastic cuffs and hem with gathering and ruffle trims.,dresses,zara
138,double breasted coat details,139.0,pink,coat with a lapel collar and long sleeves. featuring front flap pockets and double breasted button fastening in the front.,outerwear,zara
139,ruffled floral print dress details,89.9,black,"short dress with a straight neckline and thin ruffled straps. featuring lining, shirring at the back and a ruffled hem. ",dresses,zara
140,polka dot tulle dress details,79.9,beige,"dress featuring a high neck with tied detail, long sleeves with elastic cuffs, lining and an asymmetric hem. ",dresses,zara
141,asymmetric striped shirt details,49.9,sky blue,"loose fitting collared shirt featuring short turn up sleeves, an asymmetric hem and button up front.",tops,zara
142,zw premium ‘80s skinny jeans details,69.9,grey,the ‘80s skinny in concrete grey.,jeans,zara
143,t shirt with front print details,24.9,black / white,short sleeve t shirt with a round neckline and a contrast front print.,tops,zara
144,the lion king © disney t shirt details,39.9,anthracite grey,t shirt with a round neckline and short sleeves. featuring a front print from the film the lion king © disney.,tops,zara
145,ruffled dress details,119.0,khaki,v neck dress with long sleeves and elastic cuffs. featuring an asymmetric ruffled hem. ,dresses,zara
146,off the shoulder dress details,89.9,light blue,"flowing dress featuring a v neckline, thin straps, short sleeves and in seam back zip fastening.",dresses,zara
147,poplin blouse with tie detail details,89.9,black,"blouse featuring a surplice v neckline, long sleeves puffed at the shoulders, a matching tie detail and invisible side zip fastening.",tops,zara
148,t shirt with front print details,24.9,white,short sleeve t shirt with a round neckline and a contrast front print.,tops,zara
149,ribbed knit dress details,69.9,dark grey,"fitted dress with polo collar, long sleeves and front button fastening.",outerwear,zara
150,mid waist skinny z1975 jeans details,49.9,dark blue,faded mid waist skinny jeans with a five pocket design and zip fly and metal top button fastening. ,jeans,zara
151,buttoned masculine coat details,159.0,black,"coat made of a wool blend featuring a lapel collar, long sleeves and front welt pockets. double breasted button fastening at the front. ",outerwear,zara
152,jacquard cardigan details,119.0,mustard,long knit cardigan featuring puff sleeves and wide cuffs.,outerwear,zara
153,printed midi skirt details,69.9,multicoloured,flowing a line skirt with in seam zip fastening.,skirts,zara
154,frock coat with zips details,119.0,brown / taupe,long sleeve frock coat with a round neckline and pronounced shoulders. featuring front zip pockets and metal zip up fastening. ,outerwear,zara
155,printed top with bow details,49.9,ecru,"round neck top with sleeves reaching below the elbows, elasticated ruffled hem with bow and back button fastening.",tops,zara
156,textured t shirt details,39.9,beige-pink,long sleeve turtleneck t shirt. ,tops,zara
157,"monsters, inc. ©disney/pixar t shirt details",39.9,sand,"short sleeve t shirt with a round neckline and contrast monsters, inc. ©disney/pixar print. ",tops,zara
158,hi rise super elastic jeggings details,45.9,light grey,super hi rise jeggings made of super stretchy fabric that accentuate the waist and adapt perfectly to the body’s shape thanks to their elasticity. featuring back pockets and zip fly and metal top button fastening.,jeans,zara
159,embroidered organza top details,59.9,apple green,semi sheer top with a round neckline and long sleeves with puff shoulders and ruffled elastic cuffs. featuring contrast floral embroidery.,tops,zara
160,voluminous tulle top details,59.9,bluish,"short sleeveless top with a high neck, lining, ruffle details and a tied opening at the back.",tops,zara
161,basic polka dot blazer details,69.9,black,"long sleeve blazer with a lapel collar. featuring front jetted pockets, a back vent and single button fastening in the front.",outerwear,zara
162,official timothy q. mouse dumbo © disney t shirt details,39.9,grey,short sleeve t shirt with a round neckline. featuring a front print from the film dumbo © disney.,tops,zara
163,cropped denim jacket details,69.9,oyster white,cropped jacket with a shirt collar and long sleeves. featuring front patch pockets and metal button fastening in the front.,outerwear,zara
164,oversized jacquard coat details,159.0,ecru / black,long sleeve coat with a lapel collar. featuring side in seam pockets and double breasted button fastening at the front. ,outerwear,zara
165,high rise sculpt jeans details,59.9,anthracite grey,faded hi rise jeans made of stretchy fabric designed to shape and flatter the figure. featuring a five pocket design and metal zip fly and top button fastening.,jeans,zara
166,©disney’s donald duck t shirt details,39.9,anthracite grey,"oversized t shirt with a round neckline, short sleeves and a ©disney donald duck print on the front.",tops,zara
167,polka dot print midi dress details,89.9,multicoloured,"dress featuring a ruffled slot collar, sleeves falling below the elbow with elastic cuffs, an elastic waist and a ruffled hem.",dresses,zara
168,skinny trousers with belt details,59.9,navy blue,"mid waist trousers with front pockets. featuring a matching belt detail and metal hook, inside button and zip fastening in the front.",bottoms,zara
169,metallic shirt dress details,89.9,pink,flowing long sleeve dress with a shirt collar. featuring an asymmetric hem with side vents and a button up front. ,dresses,zara
170,top with smocked details details,59.9,sky blue,high neck top with long puff sleeves and smocked details. ,outerwear,zara
171,embroidered dress with ruffles details,69.9,oyster white,short dress with a straight cut neckline and thin adjustable straps. featuring matching embroidered tulle and lining.,dresses,zara
172,faux leather jacket details,89.9,ice,"jacket with a high neck, drawstring hood, long sleeves, pouch pockets with flaps on the front and a henley zip placket.",outerwear,zara
173,animal print organza shirt details,49.9,only one,"semi sheer shirt with a collar, long puff sleeves and a button up front.",tops,zara
174,draped skirt details,49.9,black,pencil skirt with draped detail. featuring a slit on the front of the hem and invisible zip fastening at the back. ,skirts,zara
175,buttoned linen jumpsuit details,139.0,black,"collared jumpsuit with short turn up sleeves. featuring front pockets, side patch pockets with flap, an elastic waist, adjustable hems with button and zip up fastening hidden by a buttoned placket.",dresses,zara
176,faux suede jacket details,69.9,black,long sleeve jacket with a round neck. front pockets with piped seams. embroidered appliqué detail and matching fringe.,outerwear,zara
177,jeans z1975 mid rise skinny bejewelled taping details,59.9,dark blue,faded mid rise jeans with a five pocket design. featuring side taping with bejewelled detail and zip fly and metal top button fastening. ,jeans,zara
178,blouse with waist knot details,59.9,fuchsia,round neck blouse with long wide sleeves. featuring a decorative front knot and a buttoned opening at the back.,tops,zara
179,water repellent parka details,179.0,black,"water repellent parka featuring a high collar, hood with removable fuzzy trim, long sleeves with inner cuffs that fit to the hand, patch pockets with flaps, side zip pocket and front welt pockets. interior with functional strap, adjustable elastic waist and zip pocket. fastening with zip and snap buttons hidden by a placket.",outerwear,zara
180,velvet trousers details,69.9,ink blue,"high waist trousers with an elastic waistband, side zip and flared hems.",bottoms,zara
181,faux leather oversize jacket details,119.0,black,"oversize jacket with a lapel collar and long sleeves. featuring front pockets with metal zip, shoulder tabs, belt with metal buckle and a zip up front.",outerwear,zara
182,z1975 skinny jeans with side taping details,69.9,light blue,"faded mid waist skinny jeans with a five pocket design. featuring metal bead appliqués down the sides, frayed hems and zip fly and metal top button fastening.",jeans,zara
183,skinny trousers details,45.9,bottle green,"mid waist trousers with front pockets and false double welt back pockets. featuring side vents at the hems and metal hook, inside button and zip fastening in the front.",outerwear,zara
184,straight fit check blazer details,159.0,mink,"blazer made of a wool blend. featuring a lapel collar, long sleeves, pronounced shoulders, front flap pockets, a back vent and double breasted button fastening. ",outerwear,zara
185,contrast belted trousers details,69.9,black,"high waist trousers with false front pockets and welt back pockets. featuring a matching belt, side vents at the hem and invisible zip fastening on the side. ",bottoms,zara
186,striped jumpsuit with belt details,89.9,striped,strappy v neck jumpsuit with a wide leg fit. featuring a tie belt in matching fabric and metal zip fastening at the back.,dresses,zara
187,sequinned bodysuit details,45.9,grey,"sleeveless bodysuit with plunging v neckline, sequin appliqués and snap button fastening at the bottom. ",tops,zara
188,floral print dress details,89.9,multicoloured,"loose fitting v neck dress with short sleeves. featuring a lined interior, ruffled trims in matching fabric and front button fastening. ",dresses,zara
189,pleated t shirt details,39.9,russet,round neck t shirt with short turn up sleeves.,tops,zara
190,gathered jacquard top details,59.9,ecru,round neck top with long puff sleeves. featuring gathered detailing on the front and button fastening at the back with an opening. ,tops,zara
191,floral print skirt details,69.9,blue/white,flowing skirt with a vent and button fastening on the front. ,skirts,zara
192,zw premium high waist skinny lead grey jeans details,69.9,anthracite grey,the high waist skinny in lead grey.,jeans,zara
193,oversized hooded parka details,179.0,blue / grey,"loose fitting parka with a high neck, hood, long sleeves and adjustable drawstrings at the waist and hem. featuring front welt pockets, patch pockets and zip up and snap button fastening hidden by a placket.",outerwear,zara
194,oversized sweatshirt with seam detail details,59.9,mink,"round neck sweatshirt with long sleeves. featuring visible seam detailing, ribbed trims and soft touch interior lining. ",outerwear,zara
195,belted fuzzy coat details,159.0,black,"coat with lapel collar, long sleeves, in seam side pockets and a belt appliqué in the same fabric. ",outerwear,zara
196,oversized cable knit waistcoat details,69.9,ecru,knit turtleneck waistcoat with ribbed trims.,outerwear,zara
197,floral print dress details,69.9,black,"midi dress with a lapel collar and v neckline. featuring short turn up sleeves, front patch pockets with flap, side pockets, an elastic waist and front button fastening.",dresses,zara
198,metallic thread t shirt details,29.9,black,"semi sheer t shirt with a round neckline, long sleeves, metallic thread and lettuce edges.",tops,zara
199,slouchy trousers with topstitching details,59.9,camel,"high waist trousers with front patch pockets, false rear welt pockets, hems with pleat and button, darts, contrast topstitching and zip fly and top button fastening.",bottoms,zara
200,rubberised printed t shirt details,45.9,white,round neck t shirt with short sleeves and a contrast print on the front. ,tops,zara
201,paperbag trousers with belt details,89.9,grey,"trousers with a high paperbag waist, side in seam pockets and false welt back pockets. featuring a contrast belt appliqué, turn up hems, a zip fly and a top button fastening. ",bottoms,zara
202,nemo ©disney/pixar t shirt details,39.9,anthracite grey,round neck t shirt with short sleeves and a nemo ©disney/pixar print.,tops,zara
203,t shirt with beaded collar details,45.9,black,t shirt featuring short sleeves and a contrast collar with bead appliqués. ,tops,zara
204,mini dress with ruffle trim details,59.9,marsala,flowing long sleeve dress with a round neckline. featuring matching ruffle trims. ,dresses,zara
205,floral print top details,59.9,multicoloured,"v neck top featuring sleeves that fall below the elbow with elastic cuffs, and a button up front.",tops,zara
206,embroidered skirt details,89.9,black,semi sheer midi skirt with matching embroidery and invisible side zip fastening. ,skirts,zara
207,combined feather effect jumpsuit details,89.9,black,"v neck jumpsuit with thin straps. featuring a velvet belt, front pleats, front pockets and invisible back zip fastening.",dresses,zara
